requestSource,product,serviceRegion,requestType,focTarget
eom,centrex,qc,generalinquiry-othergeneral,0.0
smartpath,professionalservices,ns,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,localaccesspackage,bc,disconnect,0.0
kana,saput,ns,billinginquiry-copyofinvoice,0.0
smartpath,datacentreandcloud,bc,billinginquiry-copyofinvoice,0.0
pss,tollfree,qc,generalinquiry-copyofequipmentrecord,0.0
eom,tollfree,qc,agreementregistered,0.0
pss,businesslines,qc,generalinquiry-othergeneral,0.0
kana,businesslines,west,billinginquiry-copyofinvoice,0.0
pwo,businessinternetbrokered,newfoundland and labrador,facilitycheck,0.0
smartpath,businessinternet,on,billinginquiry-leasing,0.0
smartpath,corporateservicerepair,qc,serviceandrepair,0.0
eom,ipvpn,west,agreementcreationvalidated,0.0
smartpath,businesslines,nu,billinginquiry-balancetransferpaymentupdate,0.0
kana,megalink,ab,change,0.0
pss,sap,on,change,0.0
kana,businesslines,qc,generalinquiry-directorylistings,0.0
smartpath,centrex,nl,billinginquiry-billingaccountupdate,0.0
smartpath,dedicatedinternetaccess,qc,disconnect,0.0
pwo,businesslines,west,agreementcreation,0.0
kana,datalegacy,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,businessinternet,on,generalinquiry-pricingconfirmation,0.0
smartpath,businessinternetbrokered,west,generalinquiry-accountcontractupdate,0.0
smartpath,btce,mb,add,0.0
pwo,ipvpn,ab,facilitycheck,0.0
smartpath,btce,on,billinginquiry-dispute,0.0
ssc,businesslines,on,generalinquiry-serviceaddressinformation,0.0
pss,businessinternetdedicated,ns,change,0.0
smartpath,tollfree,on,billinginquiry-balancetransferpaymentupdate,0.0
smartpath,digitalprivateline,on,generalinquiry-transferresponsibility,0.0
smartpath,btce,on,billinginquiry-obmsupport,0.0
eom,siptrunk,on,escpartner,0.0
smartpath,btce,qc,billinginquiry-dispute,0.0
smartpath,centrex,nl,pricing,0.0
smartpath,infrastructureservices,on,agreementcreation,0.0
smartpath,megalink,on,migration,0.0
smartpath,businessinternetdedicated,on,generalinquiry-serviceaddressinformation,0.0
kana,btce,west,new,0.0
smartpath,ethernet,on,generalinquiry-othergeneral,0.0
smartpath,tollfree,on,disconnect,0.0
smartpath,businessinternet,intl,billinginquiry-otherbilling,0.0
smartpath,corporatehardwareorders,ab,hardwareorderchange,0.0
smartpath,audioconferencing,nl,billinginquiry-copyofinvoice,0.0
ssc,centrex,on,generalinquiry-accountcontractupdate,0.0
smartpath,ondemandcontactcentre,nb,generalinquiry-othergeneral,0.0
eom,centrex,west,agreementcreation,0.0
smartpath,corporatehardwareorders,qc,upgrade,0.0
eom,managedservices,west,generalinquiry-othergeneral,0.0
eom,globalipvpn,west,facilitycheck,0.0
smartpath,internetconnectservice,on,add,0.0
eom,businessinternet,qc,escpartner,0.0
pss,ethernet,on,add,0.0
ssc,otherdataservices,qc,generalinquiry-transferresponsibility,0.0
smartpath,corporatehardwareorders,qc,hardwareorderchange,0.0
smartpath,megalink,bc,billinginquiry-otherbilling,0.0
smartpath,megalink,qc,generalinquiry-copyofequipmentrecord,0.0
smartpath,businessinternetbrokered,qc,billinginquiry-otherbilling,0.0
pss,businesslines,qc,billinginquiry-copyofinvoice,0.0
smartpath,businesslines,intl,billinginquiry-copyofinvoice,0.0
smartpath,corporatehardwareorders,on,return,0.0
ssc,centrex,west,billinginquiry-billingaccountupdate,0.0
smartpath,businesslines,on,new,0.0
smartpath,centrex,on,generalinquiry-othergeneral,0.0
smartpath,businessinternet,nl,billinginquiry-billingaccountupdate,0.0
smartpath,ipvpn,on,billinginquiry-invoiceexplanation,0.0
smartpath,businesslines,qc,generalinquiry-accountcontractupdate,0.0
ssc,locallink,bc,generalinquiry-accountcontractupdate,0.0
ssc,tollfree,intl,generalinquiry-othergeneral,0.0
ssc,otherdataservices,ns,disconnect,0.0
smartpath,siptrunk,on,generalinquiry-othergeneral,0.0
ssc,siptrunk,on,generalinquiry-feasibilityinformation,0.0
smartpath,ethernet,qc,coaching,0.0
ssc,ipvpn,west,billinginquiry-otherbilling,0.0
smartpath,msos365,on,billinginquiry-otherbilling,0.0
smartpath,warehousesupport,on,upgrade,0.0
eom,tollfree,qc,agreementcreationvalidated,0.0
kana,tollfree,on,generalinquiry-copyofequipmentrecord,0.0
smartpath,businesslines,qc,billinginquiry-dispute,0.0
smartpath,businessinternet,qc,serviceassurance,0.0
smartpath,switchredirect,qc,disconnect,0.0
smartpath,businesslines,on,winback,0.0
smartpath,businesslines,pe,generalinquiry-othergeneral,0.0
smartpath,businesslines,qc,winback,0.0
smartpath,businessinternet,qc,migration,0.0
smartpath,btce,bc,temporaryservice,0.0
smartpath,tollfree,qc,billinginquiry-billingaccountupdate,0.0
pss,businesslines,qc,generalinquiry-transferresponsibility,0.0
smartpath,datalegacy,on,billinginquiry-copyofinvoice,0.0
